latitude;longitude;local;descricao;fonte
40.41984;-3.703854;Tasca La Taberna;Tasca en el barrio de Lavapiés, famosa por su ambiente animado y su selección de tapas tradicionales.;poi_madrid
40.481872;-3.680621;Avenida del Cardenal Herrera Oria;Vía destacada en el norte de Madrid, conectando áreas residenciales y ofreciendo acceso a diferentes servicios.;poi_madrid
40.424123;-3.702712;Calle de Hortaleza;Vía vibrante y comercial en el centro de Madrid, conocida por sus tiendas, bares y su proximidad a la Gran Vía.;poi_madrid
40.420537;-3.70789;Farmacia Frías;Farmacia ubicada en el barrio de Malasaña, ofreciendo una amplia gama de productos de salud y cuidado personal.;poi_madrid
40.424384;-3.710347;Instituto de Educación Secundaria (IES) Ramiro de Maeztu;Instituto en el barrio de Chamberí, conocido por su sólido programa académico y actividades culturales.;poi_madrid
40.419114;-3.702978;Instituto de Estudios Sociales;Centro dedicado a la investigación y análisis de temas sociales, con seminarios y publicaciones sobre estudios sociales y culturales.;poi_madrid
40.417686;-3.706483;Restaurante La Sopa;Restaurante en el barrio de Tetuán, conocido por su ambiente relajado y cocina de alta calidad.;poi_madrid
40.453089;-3.703342;Bulevar del Parque de la Vaguada;Vía importante cerca del Parque de la Vaguada, con acceso a áreas residenciales y comerciales.;poi_madrid
40.418447;-3.708648;Bar El Cubo;Bar en el barrio de La Latina con una oferta variada de tapas y platos en un ambiente animado.;poi_madrid
40.535095;-3.613549;San Sebastián de los Reyes;Municipio cercano a Madrid con diversas actividades culturales y eventos locales.;poi_madrid
40.417518;-3.703958;Restaurante El Espléndido;Restaurante en el barrio de Chamartín, conocido por su ambiente elegante y platos de alta cocina.;poi_madrid
40.354918;-3.742131;Instituto de Educación Secundaria (IES) Juan de la Cierva;Instituto de educación secundaria en el barrio de Vallecas, conocido por su amplia oferta educativa y actividades extracurriculares.;poi_madrid
40.418392;-3.694672;Joyería Móntblanc;Joyería de lujo especializada en relojes y artículos de alta gama, ubicada en el centro de Madrid, conocida por su exclusividad y elegancia.;poi_madrid
40.423215;-3.711332;Azotea del Hotel Santo Domingo;Azotea con una piscina y vistas espectaculares a la ciudad, situada en el Hotel Santo Domingo, perfecta para relajarse y disfrutar del entorno urbano.;poi_madrid
40.419107;-3.702915;Tasca El Chato;Tasca en el barrio de Chamberí, con una amplia oferta de tapas y platos tradicionales en un ambiente familiar.;poi_madrid
40.419047;-3.70337;Biblioteca Municipal Francisco Ayala;Biblioteca pública en el distrito de Chamberí, con una buena selección de libros y actividades para todas las edades.;poi_madrid
40.423087;-3.692705;Hotel Meliá Madrid;Hotel con modernas instalaciones y una excelente ubicación en el centro de Madrid, ideal para negocios y turismo.;poi_madrid
40.416291;-3.706984;Tasca El Chiringuito;Tasca en el barrio de Chueca con una variada oferta de tapas y platos tradicionales.;poi_madrid
40.416074;-3.703873;Iglesia de San Andrés;Iglesia histórica en el centro de Madrid, conocida por su arquitectura renacentista y su valor histórico.;poi_madrid
40.41967;-3.708397;Peluquería Egos;Salón de belleza y peluquería en el barrio de Malasaña, ofreciendo servicios de corte y cuidado del cabello.;poi_madrid
40.418559;-3.703932;Discoteca Boite;Discoteca en el centro de Madrid conocida por sus eventos de música electrónica y ambiente juvenil.;poi_madrid
40.420975;-3.699891;Tasca La Flama;Tasca en Lavapiés con una amplia variedad de tapas y un ambiente vibrante y acogedor.;poi_madrid
40.418363;-3.704681;Restaurante La Chulapa;Restaurante en el barrio de Chamberí, famoso por su cocina española tradicional y su ambiente familiar.;poi_madrid
40.414895;-3.706439;Casa Museo de Lope de Vega;Museo dedicado al famoso dramaturgo español Lope de Vega, situado en su antigua casa en el barrio de las Letras.;poi_madrid
40.419348;-3.711114;Panadería La Violeta;Panadería en el barrio de Chamberí, conocida por su pan casero y pasteles frescos.;poi_madrid
40.417182;-3.703297;Restaurante Casa del Abuelo;Restaurante clásico en el barrio de Sol, famoso por sus tapas y platos tradicionales.;poi_madrid
40.388364;-3.764741;Parque de la Cuña Verde de Latina;El Parque de la Cuña Verde de Latina es un gran espacio verde en el barrio de Latina, ideal para caminar, correr y disfrutar de la naturaleza.;poi_madrid
40.416853;-3.710263;Pastelería La Princesa;Pastelería en el barrio de Malasaña, famosa por sus pasteles y postres innovadores.;poi_madrid
40.420351;-3.710453;Colegio San Rafael;Colegio en el barrio de Chamartín, con una sólida oferta educativa y un enfoque en el desarrollo personal del alumnado.;poi_madrid
40.418619;-3.705485;Consulado de Venezuela;Consulado que representa los intereses de Venezuela en Madrid y ofrece servicios a ciudadanos venezolanos.;poi_madrid
40.429159;-3.698704;Cine Verdi Madrid;Cine independiente que ofrece una selección de películas extranjeras y de autor en el barrio de Chamberí.;poi_madrid
40.418059;-3.711396;Restaurante El Cielo;Restaurante con una estrella Michelin en el barrio de Chamartín, conocido por su cocina de vanguardia.;poi_madrid
40.420982;-3.704851;Pastelería El Secreto;Pastelería en el barrio de Malasaña, famosa por sus pasteles exclusivos y su ambiente acogedor.;poi_madrid
40.426164;-3.711493;San Juan de la Cruz;Centro cultural en el barrio de Chamberí, con eventos artísticos y exposiciones.;poi_madrid
40.418305;-3.709847;Colegio San José de Cluny;Colegio en el barrio de Malasaña, con una oferta educativa diversa y un enfoque en el desarrollo integral del alumnado.;poi_madrid
40.419346;-3.706257;Cines Callao;Popular cine ubicado en la Gran Vía, conocido por su arquitectura histórica y la proyección de estrenos y eventos especiales.;poi_madrid
40.420645;-3.710309;Teatro Góngora;Teatro en Madrid con una programación enfocada en el teatro clásico y moderno.;poi_madrid
40.415232;-3.704433;Bar El Almendro;Bar en el barrio de Lavapiés, famoso por su oferta de tapas caseras y ambiente tradicional.;poi_madrid
40.418865;-3.703234;Galería Nacional;Espacio expositivo dedicado a la pintura y escultura nacional, con una colección de artistas destacados de España.;poi_madrid
40.419079;-3.703426;El Círculo de Bellas Artes;Centro cultural con una rica oferta de eventos, exposiciones y actividades artísticas, además de una terraza con vistas panorámicas.;poi_madrid
40.420156;-3.704979;Colegio Santiago Apóstol;Colegio en el barrio de Salamanca, conocido por su sólida oferta educativa y programas extracurriculares.;poi_madrid
40.423151;-3.710854;Instituto de Biología Molecular;Centro dedicado a la investigación en biología molecular, con proyectos en genética, biotecnología y biomedicina.;poi_madrid
40.418986;-3.705897;Instituto de Cultura Hispánica;Centro cultural dedicado a la promoción de la cultura hispánica, con exposiciones, conferencias y eventos educativos.;poi_madrid
40.43572;-3.611265;Parque de San Blas;El Parque de San Blas es un espacio verde en el barrio de San Blas, ideal para pasear, hacer deporte y disfrutar del aire libre.;poi_madrid
40.296805;-3.782691;Hospital de Fuenlabrada;Centro hospitalario en la región sur de Madrid, con una amplia gama de especialidades y atención médica integral.;poi_madrid
40.421611;-3.704282;Sala Caracol;Sala de conciertos en el barrio de Lavapiés, conocida por su programación musical en vivo y ambiente íntimo.;poi_madrid
40.417911;-3.710264;Restaurante El Mercader;Restaurante en el barrio de Chueca, famoso por su cocina moderna y ambiente acogedor.;poi_madrid
40.415905;-3.707162;Hemeroteca Municipal;Biblioteca especializada en la preservación y consulta de periódicos y revistas antiguas, ubicada en el centro de Madrid.;poi_madrid
40.426106;-3.701215;San Antón Market;Mercado gastronómico en el barrio de Chueca, conocido por sus ofertas culinarias y ambiente animado.;poi_madrid
40.41968;-3.703893;Fábrica de Cosméticos Ziaja;Fábrica y tienda de cosméticos con una variedad de productos de cuidado personal, ubicada en el centro de Madrid.;poi_madrid
40.41674;-3.688533;Distrito de Retiro;Barrio residencial conocido por su proximidad al Parque del Retiro y su ambiente tranquilo.;poi_madrid
40.41749;-3.708787;Restaurante La Posada;Restaurante en el barrio de Chamberí, conocido por su cocina española y ambiente tradicional.;poi_madrid
40.414833;-3.699739;Centro Cultural La Casa Encendida;Espacio cultural y social que ofrece exposiciones, talleres y eventos en un edificio histórico rehabilitado.;poi_madrid
40.487809;-3.717184;Santos de Mirasierra;Barrio en el norte de Madrid con un ambiente tranquilo y zonas residenciales.;poi_madrid
40.419736;-3.711825;Restaurante El Chaflán;Restaurante de alta gama en el barrio de Chamartín, famoso por su cocina moderna y platos innovadores.;poi_madrid
40.422825;-3.711209;Centro Cultural Conde Duque;Centro cultural y artístico con una variada programación de eventos, exposiciones y actividades.;poi_madrid
40.41155;-3.705494;Dulzainero;Pequeño pero famoso establecimiento en el barrio de La Latina, conocido por sus dulces tradicionales y ambiente acogedor.;poi_madrid
40.399643;-3.66558;Avenida de la Albufera;Importante avenida que cruza varios distritos de Madrid, conocida por sus comercios y zonas residenciales.;poi_madrid
40.46141;-3.65443;Instituto de Educación Secundaria (IES) Conde de Orgaz;Instituto en el barrio de Conde de Orgaz, con una oferta educativa diversificada y programas de formación profesional.;poi_madrid
40.423345;-3.709821;Farmacia de la Finca;Farmacia situada en el área de la Finca de Madrid, con un enfoque en medicamentos y productos farmacéuticos especializados.;poi_madrid
40.411901;-3.710748;Mirador de la Vistilla;Mirador en el barrio de La Latina, conocido por sus vistas panorámicas de la ciudad y el río Manzanares.;poi_madrid
40.419777;-3.704441;Iglesia de San Andrés Apostol;Iglesia histórica ubicada cerca del mercado de San Andrés, destacada por su valor cultural y su arquitectura tradicional.;poi_madrid
40.419074;-3.710172;Bar La Pepa;Bar en Chamberí con una oferta de tapas creativas y cócteles en un entorno moderno.;poi_madrid
40.419846;-3.705235;Galería de Arte Fino;Galería dedicada a la exhibición de obras de arte refinado y técnicas artísticas tradicionales en el centro de Madrid.;poi_madrid
40.419118;-3.703942;Gastrobar La Taberna;Restaurante de tapas y platos creativos en el centro de Madrid, famoso por su ambiente relajado y su menú innovador.;poi_madrid
40.421103;-3.703855;Consulado de Italia;Consulado que representa los intereses de Italia en Madrid y ofrece asistencia a ciudadanos italianos.;poi_madrid
40.419074;-3.705643;Librería Ocho y Medio;Librería especializada en cine y literatura relacionada, ubicada en el barrio de Malasaña.;poi_madrid
40.428934;-3.692075;Hotel Hesperia Madrid;Hotel elegante en el distrito financiero, con modernas instalaciones y una oferta gastronómica de alta calidad.;poi_madrid
40.439133;-3.688611;Quinta de los Molinos;Espacio verde en el barrio de San Blas, conocido por su belleza natural y zonas recreativas.;poi_madrid
40.410859;-3.709673;Museo de los Orígenes;El Museo de los Orígenes, también conocido como el Museo de San Isidro, muestra la historia de Madrid desde la Prehistoria hasta el establecimiento de la ciudad en la Edad Media.;poi_madrid
40.417628;-3.669742;Bulevar de la Paz;Vía destacada en el distrito de Ciudad Lineal, importante para el tránsito y acceso a diferentes zonas.;poi_madrid
40.424796;-3.695556;Mirador de la Azotea del Corte Inglés;Mirador en la azotea del Corte Inglés de Callao, con vistas panorámicas del centro de Madrid.;poi_madrid
40.415774;-3.721735;Puente de Segovia;El Puente de Segovia es el puente más antiguo de Madrid, construido en el siglo XVI. Ofrece vistas impresionantes del río Manzanares y la ciudad.;poi_madrid
40.419431;-3.704119;Gran Salón de Madrid;Espacio para eventos y exposiciones en el centro de la ciudad, conocido por su diseño elegante y versatilidad.;poi_madrid
40.42058;-3.70426;Teatro Cofidis Alcázar;Teatro en el barrio de Chueca, conocido por sus producciones de comedia y teatro musical.;poi_madrid
40.419334;-3.702103;Juguetería Juguetes y Juegos;Tienda que ofrece una gran variedad de juguetes y juegos para todas las edades, con un enfoque en productos innovadores y de calidad.;poi_madrid
40.423087;-3.692705;Jardín del Hotel Meliá Madrid;Área verde en el Hotel Meliá, con un diseño moderno y espacios ajardinados para disfrutar de la naturaleza en el centro de la ciudad.;poi_madrid
40.418701;-3.709982;Rosa Paloma;Boutique de moda en el barrio de Salamanca, especializada en ropa femenina y accesorios de diseño.;poi_madrid
40.42041;-3.708779;Gimnasio de Alta Intensidad;Gimnasio especializado en entrenamiento de alta intensidad y clases grupales en un entorno moderno y equipado.;poi_madrid
40.414524;-3.703672;Teatro Español;El Teatro Español es uno de los teatros más antiguos de Madrid y un importante centro cultural de la ciudad. Ofrece una amplia variedad de obras de teatro y otros eventos culturales.;poi_madrid
40.42166;-3.70878;Edificio España;Rascacielos histórico en la Gran Vía, conocido por su arquitectura y su papel importante en el skyline de Madrid.;poi_madrid
40.41432;-3.711024;Tasca La Gitanilla;Tasca tradicional en el centro de Madrid con una excelente oferta de tapas y raciones.;poi_madrid
40.418225;-3.707683;Instituto de Ciencias Sociales;Centro académico enfocado en la investigación en ciencias sociales, ofreciendo cursos, seminarios y publicaciones en el área.;poi_madrid
40.418135;-3.70898;Bar La Botillería;Bar en el centro de Madrid con una amplia selección de vinos y tapas en un ambiente relajado.;poi_madrid
40.419842;-3.70495;Azotea del Hotel H10 Villa de la Reina;Azotea del Hotel H10 Villa de la Reina, con vistas a la Gran Vía y un ambiente relajado, ideal para disfrutar de una bebida al aire libre.;poi_madrid
40.426117;-3.704712;Hospital de San Rafael;Centro médico en el barrio de Chamberí, reconocido por su atención especializada y servicios de salud.;poi_madrid
40.419308;-3.701926;Jabón y Cía;Tienda especializada en productos de cuidado personal y cosméticos, con una amplia gama de jabones artesanales y otros artículos de belleza.;poi_madrid
40.41607;-3.706804;Relojería Daniel;Tienda de relojes de lujo y accesorios en el barrio de Salamanca, conocida por su atención al detalle y selección de marcas.;poi_madrid
40.449241;-3.72808;Biblioteca de Vallehermoso;Biblioteca pública en el distrito de Moncloa, con una buena colección de libros y actividades para la comunidad.;poi_madrid
40.417738;-3.70851;Mirador del Parque de la Cebada;Mirador en el Parque de la Cebada, ofreciendo vistas del barrio y el entorno urbano.;poi_madrid
40.418855;-3.702541;Universidad Camilo José Cela (UCJC);Universidad privada conocida por su innovadora oferta académica y enfoque en el emprendimiento.;poi_madrid
40.415136;-3.689293;Kiosco del Retiro;Kiosco situado en el Parque del Retiro, ofreciendo bebidas y snacks para los visitantes del parque.;poi_madrid
40.415058;-3.707419;Sede del Ayuntamiento de Madrid;Edificio histórico y sede del Ayuntamiento de Madrid, con arquitectura destacada y relevancia histórica.;poi_madrid
40.498657;-3.660916;Valdebebas;Zona de desarrollo urbano en Madrid con nuevas instalaciones y espacios verdes, además de áreas residenciales y comerciales.;poi_madrid
40.346626;-3.831529;Centro Comercial TresAguas;Un gran centro comercial con numerosas tiendas;poi_madrid
40.419502;-3.704283;Dulce y Salado;Restaurante conocido por su variada oferta de platos dulces y salados, ubicado cerca de la Plaza de España.;poi_madrid
40.389302;-3.753082;Parque de Aluche;El Parque de Aluche es un gran espacio verde en el barrio de Aluche, con áreas de juego, pistas deportivas y un ambiente familiar.;poi_madrid
40.417597;-3.705482;Bar El Paseo;Bar en el barrio de Lavapiés con una oferta de tapas tradicionales y cócteles en un entorno vibrante.;poi_madrid
40.423832;-3.693548;Kiosco de la Plaza de Cibeles;Kiosco situado en la Plaza de Cibeles, con una oferta de bebidas, snacks y prensa en una de las plazas más emblemáticas de Madrid.;poi_madrid
40.399618;-3.647792;Barrio de San Blas;Barrio conocido por su ambiente familiar y su mezcla de espacios comerciales y residenciales.;poi_madrid
40.417744;-3.70546;Restaurante La Sombra;Restaurante en el barrio de Malasaña, famoso por su comida casera y su ambiente acogedor.;poi_madrid
40.418897;-3.705939;Teatro Circo Price;Teatro y circo en el centro de Madrid, conocido por su programación de espectáculos de circo contemporáneo y eventos especiales.;poi_madrid
40.417657;-3.709549;Restaurante Casa Julio;Restaurante tradicional en el barrio de Argüelles, famoso por sus platos caseros y su ambiente familiar.;poi_madrid
40.449007;-3.723544;Mirador del Parque de Vallehermoso;Mirador en el Parque de Vallehermoso, con vistas a los espacios verdes y el entorno urbano.;poi_madrid
40.420842;-3.710682;Discoteca Shoko;Discoteca y restaurante en el centro de Madrid, famosa por sus fiestas temáticas y su fusión de cocina y música.;poi_madrid
40.36922;-3.70533;Parque Lineal del Manzanares;El Parque Lineal del Manzanares es un gran espacio verde que sigue el curso del río Manzanares, ideal para caminar, correr y disfrutar de la naturaleza.;poi_madrid
40.417201;-3.705788;Bar El Rastro;Bar en el barrio del Rastro con una excelente selección de tapas y un ambiente animado.;poi_madrid
40.422043;-3.705761;Pastelería La Crema;Pastelería en el barrio de Tetuán, famosa por su repostería creativa y tartas personalizadas.;poi_madrid
40.425648;-3.714455;Kiosco de Príncipe Pío;Kiosco situado en el centro comercial Príncipe Pío, ofreciendo una variedad de snacks, bebidas y periódicos.;poi_madrid
40.417722;-3.706853;Gran Café;Cafetería y bar en la Gran Vía con un ambiente sofisticado y una oferta de bebidas y pasteles de alta calidad.;poi_madrid
40.487439;-3.703756;Jardín de la Vaguada;Parque en el distrito de Fuencarral, conocido por sus amplias áreas verdes y zonas recreativas, ideal para actividades al aire libre.;poi_madrid
40.417813;-3.692282;Librería del Prado;Librería ubicada cerca del Parque del Prado, ofreciendo una selección variada de libros y material educativo.;poi_madrid
40.423642;-3.688725;Hotel Zenit Abeba;Hotel con una ubicación tranquila en el barrio de Salamanca, ideal para viajes de negocios y turismo.;poi_madrid
40.418019;-3.713789;Mirador de la Plaza de Oriente;Mirador en la Plaza de Oriente, con vistas al Palacio Real y a los Jardines de Sabatini.;poi_madrid
40.416481;-3.711596;Restaurante La Vaca y La Huerta;Restaurante que ofrece cocina española con productos frescos y locales, ubicado en el barrio de Chamberí.;poi_madrid
40.418756;-3.701442;Quo Vadis;Restaurante en el barrio de La Latina, conocido por su excelente comida y ambiente acogedor.;poi_madrid
40.449561;-3.725628;Casa de la Cultura de Vallehermoso;Espacio cultural en el distrito de Moncloa, que ofrece eventos, talleres y exposiciones para la comunidad.;poi_madrid
40.374814;-3.758291;Parque de la Peseta;El Parque de la Peseta es un espacio verde en el barrio de Carabanchel, conocido por su ambiente tranquilo y sus áreas de recreo.;poi_madrid
40.41724;-3.706859;Pastelería Pan y Dulce;Pastelería en el barrio de Lavapiés, famosa por su amplia gama de pasteles y dulces artesanales.;poi_madrid
40.420087;-3.705739;Azotea del Hotel Emperador;Azotea en el Hotel Emperador, ofrece una piscina y vistas a la Gran Vía, perfecta para relajarse durante el día y disfrutar de la ciudad por la noche.;poi_madrid
40.371987;-3.861295;Carretera de San Martín;Importante vía de comunicación que conecta estos municipios con el centro de Madrid.;poi_madrid
40.441876;-3.712056;Universidad de Navarra (sede en Madrid);Universidad privada con campus en Madrid, conocida por su enfoque en la formación integral y su excelencia académica.;poi_madrid
40.42354;-3.69141;Biblioteca de la Fundación Juan March;Biblioteca y centro cultural con una rica colección de libros y programación cultural en el barrio de Chamberí.;poi_madrid
40.419583;-3.699778;Floristería Frescura Floral;Floristería que ofrece flores frescas y arreglos personalizados para todo tipo de ocasiones, situada cerca de la Plaza de España.;poi_madrid
40.417878;-3.703456;Pastelería Dulce Pecado;Pastelería en el barrio de Sol, conocida por sus dulces irresistibles y su excelente calidad.;poi_madrid
40.436015;-3.667576;Parque de Breogán;El Parque de Breogán es un espacio verde en el barrio de Chamartín, ideal para pasear, hacer deporte y disfrutar de actividades al aire libre.;poi_madrid
40.415682;-3.70595;Colegio San Vicente Ferrer;Colegio en el barrio de La Latina, conocido por su sólida oferta académica y programas educativos.;poi_madrid
40.414569;-3.701839;Iglesia de Santa Teresa y San José;Iglesia en el barrio de Chamberí, conocida por su arquitectura y su valor histórico en la comunidad religiosa local.;poi_madrid
40.338603;-3.799487;Centro de Arte Dos de Mayo;El Centro de Arte Dos de Mayo (CA2M) es un museo de arte contemporáneo ubicado en Móstoles, en la Comunidad de Madrid. Ofrece una variada programación de exposiciones, talleres y actividades culturales.;poi_madrid
40.418321;-3.702974;Restaurante El Fogón;Restaurante en el barrio de Vallehermoso, famoso por su comida casera y su ambiente relajado.;poi_madrid
40.481501;-3.363727;Universidad de Alcalá;Universidad histórica ubicada en la ciudad de Alcalá de Henares, con una fuerte reputación en humanidades y ciencias sociales.;poi_madrid
40.422059;-3.70259;Azotea del Hotel Only You;Azotea en el Hotel Only You, con un diseño chic y moderno, ideal para disfrutar de cócteles y tapas mientras se contempla el centro de Madrid.;poi_madrid
40.41135;-3.709379;Mirador del Parque de Atenas;Mirador en el Parque de Atenas con vistas al río Manzanares y a la ciudad.;poi_madrid
40.417527;-3.699897;Real Academia de Bellas Artes de San Fernando;La Real Academia de Bellas Artes de San Fernando alberga una colección de arte que incluye pinturas, esculturas, grabados y más, abarcando desde el siglo XVI hasta la contemporaneidad.;poi_madrid
40.421091;-3.706964;Hostal Gala;Hostal ubicado cerca de la Gran Vía, ofreciendo un alojamiento sencillo pero cómodo y accesible en el centro de Madrid.;poi_madrid
40.420519;-3.707801;Quesería La Casa del Queso;Tienda especializada en quesos artesanales y gourmet, ubicada en el barrio de Salamanca.;poi_madrid
40.423801;-3.690198;Museo Arqueológico Nacional;El Museo Arqueológico Nacional ofrece una fascinante colección de objetos que abarcan la historia de España desde la Prehistoria hasta la Edad Moderna.;poi_madrid
40.415653;-3.710042;Pastelería Sacha;Pastelería reconocida en el barrio de Chamberí por sus deliciosos pasteles y repostería creativa.;poi_madrid
40.419866;-3.702952;Hostal El Pilar;Hostal situado cerca de la Puerta del Sol, ofrece comodidad y una buena relación calidad-precio en el centro de Madrid.;poi_madrid
40.418678;-3.710986;Librería Papelería Cuesta;Librería y papelería en el barrio de Usera, ofreciendo una selección de libros, material de oficina y productos escolares.;poi_madrid
40.421898;-3.702542;Taberna La Finca;Taberna en el barrio de Chueca, conocida por sus tapas tradicionales y ambiente local.;poi_madrid
40.417529;-3.701722;Teatro de los Apóstoles;Teatro con una programación enfocada en producciones de teatro clásico y moderno en Madrid.;poi_madrid
40.41774;-3.705067;Churrería El Rey;Churrería tradicional en Chamberí, famosa por sus churros y chocolate a la taza.;poi_madrid
40.44119;-3.690205;Museo Nacional de Ciencias Naturales;El Museo Nacional de Ciencias Naturales es un lugar fascinante para aprender sobre la historia natural, con exposiciones que incluyen dinosaurios, minerales y animales de todo el mundo.;poi_madrid
40.418547;-3.706268;Discoteca Cadena;Discoteca con una amplia oferta de música y eventos en el centro de Madrid, ideal para una noche de diversión.;poi_madrid
40.41667;-3.703875;Restaurante StreetXO;Restaurante innovador en el barrio de Salamanca, famoso por su cocina fusión asiática y creativa del chef David Chang.;poi_madrid
40.419706;-3.689335;Goya;Barrio de Madrid conocido por su ambiente tradicional y su rica oferta gastronómica y cultural.;poi_madrid
40.425896;-3.699228;Juegos Tradicionales;Centro que ofrece una variedad de juegos tradicionales y actividades recreativas, ideal para familias y grupos de amigos.;poi_madrid
40.415778;-3.714312;Almudena Cathedral;Impresionante catedral neogótica con vistas al Palacio Real, un lugar emblemático para la fe y la cultura.;poi_madrid
40.425362;-3.701527;Hotel Palafox;Hotel de lujo con una ubicación estratégica cerca de la Gran Vía y el centro de Madrid, ideal para turistas y viajeros de negocios.;poi_madrid
40.426264;-3.691706;Jardín del Hotel NH Collection Madrid;Jardín del Hotel NH Collection en el barrio de Salamanca, con espacios verdes y un entorno relajante ideal para descansar y disfrutar.;poi_madrid
40.453054;-3.688344;Santiago Bernabéu;El estadio Santiago Bernabéu es el hogar del Real Madrid, uno de los clubes de fútbol más exitosos del mundo. Con una capacidad de más de 80,000 espectadores, es un lugar imprescindible para los amantes del fútbol.;poi_madrid
40.405067;-3.690707;San Diego;Barrio en el sur de Madrid, conocido por su ambiente residencial y tranquilidad.;poi_madrid
40.416698;-3.713403;Xaxim;Bar en Madrid con un enfoque en cócteles creativos y una experiencia de socialización única.;poi_madrid
40.419842;-3.70495;Hotel H10 Villa de la Reina;Hotel en el centro de Madrid, cerca de la Gran Vía, conocido por su elegancia y confort.;poi_madrid
40.470407;-3.903591;Parque Regional del Curso Medio del Río Guadarrama;Un área natural protegida ideal para senderismo y actividades al aire libre.;poi_madrid
40.418888;-3.711224;Sede del Congreso de los Diputados;Edificio histórico que alberga la sede del Congreso de los Diputados de España, con relevancia política y arquitectónica.;poi_madrid
40.418743;-3.705954;Gran Vía Theater;Teatro en la Gran Vía conocido por sus espectáculos musicales y producciones teatrales de alto nivel.;poi_madrid
40.420029;-3.708314;Discoteca Templo;Discoteca en el barrio de Lavapiés, conocida por su ambiente alternativo y sus eventos de música electrónica.;poi_madrid
40.419118;-3.715154;Avenida de la Libertad;Vía destacada en el distrito de Moncloa, con acceso a servicios y comercios.;poi_madrid
40.418831;-3.710591;Bar La Retama;Bar en el barrio de Chamberí, conocido por su excelente oferta de tapas y ambiente relajado.;poi_madrid
40.425323;-3.711559;Teatro Victoria;Teatro en el barrio de Chamberí conocido por sus representaciones de teatro musical y eventos culturales.;poi_madrid
40.41614;-3.710967;Quimera;Centro cultural en el barrio de Malasaña que organiza exposiciones y eventos artísticos.;poi_madrid
